Num Trades
--- Varying: Lookback ---
Lookback,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average Total PnL,Average Trades,Average POW,Average Avg PnL,Average Max Drawdown,Average Sortino,Average Sharpe,Average Mean Losses,Average Mean Wins,Average T Stat,Overall T Stat,Overall P-Value,Overall Std,Avg Risk of Ruin,Overall Risk of Ruin
0.0150,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,477.0474,2.2857,0.9048,252.8600,0.0082,-5.7453,8.3701,-27.2620,290.3666,0.2004,0.0082,N/A,309.2790,0.6589,0.8217
0.0200,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,661.7705,2.2857,0.9048,351.7415,0.0113,-5.0085,9.0150,-37.4874,402.8231,0.2003,0.0082,N/A,428.2022,0.7051,0.9067
0.0250,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
0.0300,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1074.1668,2.2857,0.9048,574.3507,0.0180,-3.9552,10.6418,-59.8196,654.3089,0.2002,0.0081,N/A,693.8783,0.7574,0.9655
0.0350,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1303.3724,2.2857,0.9048,699.1263,0.0217,-3.5841,11.6976,-71.9867,794.4268,0.2002,0.0081,N/A,842.1033,0.7736,0.9762
0.0400,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1548.9679,2.2857,0.9048,833.6107,0.0255,-3.2841,12.9982,-84.8625,944.8833,0.2003,0.0081,N/A,1001.6159,0.7804,0.9839
0.0450,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1811.7601,2.2857,0.9048,978.3677,0.0296,-3.0381,14.6562,-98.4788,1106.2645,0.2004,0.0082,N/A,1173.2221,0.7840,0.9885
0.0500,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,2092.5740,2.2857,0.9048,1133.9833,0.0338,-2.8336,16.8763,-112.8681,1279.1765,0.2005,0.0083,N/A,1357.7563,0.7860,0.9921

--- Varying: Volume Comparison ---
